date,animal_id,bin_id,start_time,end_time,duration_sec,start_weight_kg,end_weight_kg,diet,intake_kg
2023-05-25,187878127,109,06:20:38,06:21:54,76,3.5,3.3,HEIFER,0.2
2023-05-25,187878127,109,06:23:16,06:26:50,214,3.3,2.9,HEIFER,0.4
2023-05-25,187878127,110,06:31:02,06:35:14,252,1.4,1,HEIFER,0.4
2023-05-25,187878163,147,06:36:41,06:37:14,33,0.1,0.1,HEIFER,0
2023-05-25,187878127,109,06:35:55,06:38:53,178,2.9,2.6,HEIFER,0.3
2023-05-25,187878141,83,06:37:13,06:39:13,120,4.6,4.4,HEIFER,0.2
2023-05-25,187878141,84,06:39:48,06:40:19,31,1.3,1.3,HEIFER,0
2023-05-25,187878127,109,06:40:58,06:41:56,58,2.6,2.4,HEIFER,0.2
2023-05-25,187878141,83,06:40:30,06:42:19,109,4.4,4.3,HEIFER,0.1
2023-05-25,187878245,87,06:42:53,06:43:14,21,-0.1,-0.1,HEIFER,0
2023-05-25,187878141,83,06:42:40,06:44:22,102,4.3,4.2,HEIFER,0.1
2023-05-25,187878245,88,06:43:27,06:44:45,78,0.2,0.1,HEIFER,0.1
2023-05-25,187878245,87,06:45:36,06:46:04,28,-0.1,-0.1,HEIFER,0
2023-05-25,187878127,108,06:44:02,06:46:54,172,1.8,1.5,HEIFER,0.3
2023-05-25,187878141,84,06:44:44,06:47:01,137,1.3,1.1,HEIFER,0.2
2023-05-25,187878141,84,06:47:14,06:48:24,70,1.1,1.1,HEIFER,0
2023-05-25,187878127,109,06:48:10,06:49:29,79,2.4,2.1,HEIFER,0.3
2023-05-25,187878108,82,06:49:57,06:50:25,28,0.1,0.1,HEIFER,0
2023-05-25,187878127,109,06:50:13,06:52:05,112,2.1,1.9,HEIFER,0.2
2023-05-25,187878141,83,06:48:51,06:52:39,228,4.2,3.9,HEIFER,0.3
2023-05-25,187878141,83,06:53:22,06:55:20,118,3.9,3.7,HEIFER,0.2
2023-05-25,187878266,82,06:57:31,06:57:40,9,0.1,0.1,HEIFER,0
2023-05-25,187878141,84,06:55:39,07:00:18,279,1.1,0.8,HEIFER,0.3
2023-05-25,187878141,84,07:00:42,07:02:30,108,0.8,0.6,HEIFER,0.2
2023-05-25,187878262,83,07:02:44,07:03:04,20,3.7,3.7,HEIFER,0
2023-05-25,187878262,84,07:04:02,07:04:43,41,0.6,0.5,HEIFER,0.1
2023-05-25,187878262,83,07:05:35,07:07:08,93,3.7,3.5,HEIFER,0.2
2023-05-25,187878262,83,07:08:12,07:09:02,50,3.5,3.5,HEIFER,0
